Date,Open,High,Low,Close,Volume
2012-09-17,12116.16,12116.51,12064.68,12080.88,240573328
2012-09-18,12080.89,12080.89,11928.27,11933.7,254373312
2012-09-19,11933.7,11990.4,11933.59,11974.19,228058640
2012-09-20,11974.24,11974.24,11882.3,11928.98,211963312
2012-09-21,11928.91,12007.73,11928.91,11950.03,472528800
2012-09-24,11950.05,11950.68,11861.73,11903.11,173824752
2012-09-25,11903.03,11941.69,11894.68,11931.43,213478304
2012-09-26,11931.53,11931.53,11721.21,11737.88,218678560
2012-09-27,11737.81,11782.44,11723.38,11754.4,177949664
2012-09-28,11754.32,11804.16,11730.29,11734.1,221343984
2012-10-01,11734.08,11892.65,11723.78,11867.48,201573168
2012-10-02,11867.49,11928.9,11821.82,11894.41,231553200
2012-10-03,11894.49,11913.97,11840.28,11872.73,214450688
